name,taxType,link,image,price,soldOut
고춧가루(골드) 1kg+500g,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8128-1013019?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_2d138f1d835f00f81de68102bec4.jpg,"60,000 P",FALSE
다릿돌미역특4호세트(미역 20g 5개입 + 다시마 40g 1개입),A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17229-1002010?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ba48f4b8001b29fb4bc68f480c43.jpg,"15,000 P",FALSE
[전남 광양시] 백운주가 백운명주 30호 선물세트(송이·산삼·상황버섯),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-6277-1013006?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_88a265b460ad71cf9e670e16f87c.jpg,"30,000 P",FALSE
도자 갬성잔,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-14629-1005001?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_a513e501400fd4553c55913d6208.jpg,"30,000 P",FALSE
[대구 서구] 자연에서 온 우리쌀 10kg_풍국쌀,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-10068-1003004?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8a9cfed25157f448a05daa6b2101.jpg,"26,000 P",FALSE
"[경북 구미] 금오산 꿀,화분 세트",A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-14456-1014006?tpa_index18274=8&PB_1410486717=3&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_49ca1413d6940ab1083497ea16e6.png,"30,000 P",FALSE
남영양농협 햇살촌 고춧가루 선물세트1호,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17194-1014015?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_92f02e52d780a2e97ccfc252c813.jpg,"30,000 P",FALSE
석정온천 휴스파,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8820-1012014?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_edbb642db4fd16706088832b9cc0.jpg,전화문의,FALSE
[충청북도 옥천군] 금적산 천연벌꿀,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-9825-1010007?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_9acb526e47a06f84e6f1d131f995.jpg,"30,000 P",FALSE
[대구 서구] 자연에서 온 우리쌀 10kg_풍국쌀,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-10068-1003004?tpa_index18274=8&PB_1410486717=4&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8a9cfed25157f448a05daa6b2101.jpg,"26,000 P",FALSE
