name,link,image,price,soldOut,state,region,category,taxType
[강원 춘천시] 청목폐 세트박스 선물용,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4425-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1ffed5874dd4feee9734a24b45fe.jpg,"99,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] (위드블라썸) 박사마을 메리골드 천연염색 손수건,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3773-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_91c8ba9cd043c1b585e623531afc.jpg,"5,500 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 귀한 연옥분말을 함유한 춘천옥비누 원석,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4677-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_917ebe9b42245c1c926d33b9395f.jpg,"10,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 서화비 바디 솔트 스크럽,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4456-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_71d251e3ed6f34f353b0a7f68f79.jpg,"22,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 서화비 바디 딥 모이스처 로션,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4444-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1e4695d8f15c6864fba0d85f0e43.jpg,"21,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 귀한 연옥분말을 함유한 춘천옥비누 원형,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4656-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_0fc9a55fe9710906ff9c29d4a7b2.jpg,"9,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 서화비 헤어 리페어 샴푸,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4460-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M05&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_03a1ad1ca5dc6886500dee088375.jpg,"20,000 P",FALSE,강원도,춘천시,생활용품,C
[강원 춘천시] 모바일 춘천사랑상품권 (*상품권 전송시스템 신규 구축기간 주문불가 / 2023.3.5.~ 3.12 까지)),https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-10953-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M06&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_acaaa852b900ddb2f30d9a121a17.png,"10,000 P",TRUE,강원도,춘천시,지역상품권,A
[강원 춘천시] 춘천 김유정 레일바이크,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-5118-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M06&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_671df83574a9084338657468c241.jpg,"35,000 P",FALSE,강원도,춘천시,지역상품권,C
[강원 춘천시] 남이섬 입장권(왕복 선박 포함),https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8387-1009002?SCH_goods_category_serial=%7E1009002&SCH_goods_group=M06&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ac2040fda06dfc2535e512d1efd7.png,"16,000 P",FALSE,강원도,춘천시,지역상품권,C
[허브이야기]폴인허브4종세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-943-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1465a44af5fab42467265124e9b9.jpg,"21,000 P",FALSE,강원도,원주시,농축산물,C
국내산 5종 잡곡세트(토토미),https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-5669-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M01&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_7bc0fd8ccc869f49741c3710cd48.jpg,"30,000 P",FALSE,강원도,원주시,농축산물,A
